timestamp,url,is_anomaly_if,is_anomaly_ae,is_anomaly_label
2021-11-30 23:28:01+03:00,/wp-content/uploads/2015/06/15-%D0%A0%D0%B0%D0%BC%D0%BF%D0%B0-%D0%BF%D0%B5%D1%80%D0%B5%D0%BF%D1%83%D1%81%D0%BA%D0%BD%D0%B0%D1%8F-%D0%A0%D0%9F-01%D1%83%D0%BF-_5%D1%81-2%D1%85_2-3__-%D0%BA%D0%B8%D1%81%D0%BB%D0%BE%D1%80%D0%BE%D0%B4%D0%BD%D0%B0%D1%8F-%D0%BD%D0%B0-5-%D0%B1%D0%B0%D0%BB%D0%BB%D0%BE%D0%BD%D0%BE%D0%B2-619-%D1%83%D0%BF.pdf,1,1,
2021-11-30 23:46:00+03:00,/wp-content/uploads/2014/07/%D0%9F%D0%BE%D1%81%D1%82-%D0%B3%D0%B0%D0%B7%D0%BE%D1%80%D0%B0%D0%B7%D0%B1%D0%BE%D1%80%D0%BD%D1%8B%D0%B9-%D0%B7%D0%B0%D0%BA%D1%80%D1%8B%D1%82%D0%BE%D0%B3%D0%BE-%D1%82%D0%B8%D0%BF%D0%B0-%D0%9A%D0%B8%D1%81%D0%BB%D0%BE%D1%80%D0%BE%D0%B4.jpg,1,1,
2021-11-30 23:53:48+03:00,/wp-content/uploads/2015/06/18-%C3%90%C2%A0%C3%90%C2%B0%C3%90%C2%BC%C3%90%C2%BF%C3%90%C2%B0-%C3%90%C2%BF%C3%90%C2%B5%C3%91%E2%82%AC%C3%90%C2%B5%C3%90%C2%BF%C3%91%C6%92%C3%91%20%C3%90%C2%BA%C3%90%C2%BD%C3%90%C2%B0%C3%91%20-%C3%90%C2%A0%C3%90%C5%B8-01%C3%91%C6%92%C3%90%C2%BF-_4%C3%91%20-2%C3%91%E2%80%A62_-%C3%90%C2%B0%C3%91%E2%82%AC%C3%90%C2%B3%C3%90%C2%BE%C3%90%C2%BD%C3%90%C2%BE%C3%90%C2%B2%C3%90%C2%B0%C3%91%20-%C3%90%C2%BD%C3%90%C2%B0-4-%C3%90%C2%B1%C3%90%C2%B0%C3%90%C2%BB%C3%90%C2%BB%C3%90%C2%BE%C3%90%C2%BD%C3%90%C2%B0-651%C3%91%C6%92%C3%90%C2%BF.pdf,1,1,
2021-12-01 00:13:51+03:00,/wp-content/uploads/2014/08/%D0%93%D0%BE%D1%80%D0%B5%D0%BB%D0%BA%D0%B0-%D0%B3%D0%B0%D0%B7%D0%BE%D0%BA%D0%B8%D1%81%D0%BB%D0%BE%D1%80%D0%BE%D0%B4%D0%BD%D0%B0%D1%8F-%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D0%B8-%D0%93%D0%9F-2-%D0%93%D0%9F-2%D0%B7-%D0%94%D0%96%D0%95%D0%A2-110-00-00-00-%D0%9F%D0%A1-_%D0%B0%D1%86%D0%B5%D1%82%D0%B8%D0%BB%D0%B5%D0%BD%D0%BF%D1%80%D0%BE%D0%BF%D0%B0%D0%BD-%D0%B1%D1%83%D1%82%D0%B0%D0%BD-%D0%B8%D0%BB%D0%B8-%D0%BF%D1%80%D0%B8%D1%80%D0%BE%D0%B4%D0%BD%D1%8B%D0%B9-%D0%B3%D0%B0%D0%B7+%D0%BA%D0%B8%D1%81%D0%BB%D0%BE%D1%80%D0%BE%D0%B4_1.pdf,1,1,
2021-12-01 00:22:51+03:00,/wp-content/uploads/2014/08/%C3%90%C2%A0%C3%90%C2%B5%C3%90%C2%B4%C3%91%C6%92%C3%90%C2%BA%C3%91%E2%80%9A%C3%90%C2%BE%C3%91%E2%82%AC-%C3%90%C2%A1%C3%90%C5%A1%C3%90%C5%BE-10-%C3%90%E2%80%9D%C3%90%E2%80%93%C3%90%E2%80%A2%C3%90%C2%A2-277-00-00-00-%C3%90%C5%B8%C3%90%C2%A1-_%C3%90%C5%A1%C3%90%CB%9C%C3%90%C2%A1%C3%90%E2%80%BA%C3%90%C5%BE%C3%90%C2%A0%C3%90%C5%BE%C3%90%E2%80%9D_.pdf,1,1,
2021-12-01 00:43:22+03:00,/wp-content/uploads/2015/06/3-%D0%A0%D0%B0%D0%BC%D0%BF%D0%B0-%D0%BF%D0%B5%D1%80%D0%B5%D0%BF%D1%83%D1%81%D0%BA%D0%BD%D0%B0%D1%8F-%D0%A0%D0%9F-02%D1%83%D0%BF-_4%D1%81-2%D1%852_-%D1%83%D0%B3%D0%BB%D0%B5%D0%BA%D0%B8%D1%81%D0%BB%D0%BE%D1%82%D0%BD%D0%B0%D1%8F-%D0%BD%D0%B0-4-%D0%B1%D0%B0%D0%BB%D0%BB%D0%BE%D0%BD%D0%B0-c-%D0%BF%D0%B5%D1%80%D0%B5%D0%BA%D0%BB%D1%8E%D1%87%D0%B5%D0%BD%D0%B8%D0%B5%D0%BC-478%D1%83%D0%BF.pdf,1,1,
2021-12-01 01:24:54+03:00,/wp-content/uploads/2014/08/%D0%93%D0%BE%D1%80%D0%B5%D0%BB%D0%BA%D0%B0-%D0%B3%D0%B0%D0%B7%D0%BE%D0%BA%D0%B8%D1%81%D0%BB%D0%BE%D1%80%D0%BE%D0%B4%D0%BD%D0%B0%D1%8F-%D0%94%D0%96%D0%95%D0%A2-100-00-00-00-%D0%9F%D0%A1-%D0%BC%D0%BE%D0%B4.%D0%93%D0%9F-1-%D0%92%D1%83%D0%BB%D0%BA%D0%B0%D0%BD-%D0%A8%D1%82%D0%BE%D1%80%D0%BC-%D0%A0%D0%BE%D1%82%D0%BE%D1%80-%D0%94%D0%96%D0%95%D0%A2-100-_%D0%B0%D1%86%D0%B5%D1%82%D0%B8%D0%BB%D0%B5%D0%BD%D0%BF%D1%80%D0%BE%D0%BF%D0%B0%D0%BD-%D0%B1%D1%83%D1%82%D0%B0%D0%BD-%D0%B8%D0%BB%D0%B8-%D0%BF%D1%80%D0%B8%D1%80%D0%BE%D0%B4%D0%BD%D1%8B%D0%B9-%D0%B3%D0%B0%D0%B7-%D0%BA%D0%B8%D1%81%D0%BB%D0%BE%D1%80%D0%BE%D0%B4_-%D0%BE%D1%82-07.11.2014.pdf,1,1,
2021-12-03 23:21:41+03:00,/%D0%BA%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3/armatur-dla-medicin/%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D0%B5-%D0%B4%D0%BB%D1%8F-%D0%BC%D0%B0%D1%88%D0%B8%D0%BD-%D1%81%D0%BA%D0%BE%D1%80%D0%BE%D0%B9-%D0%BF%D0%BE%D0%BC%D0%BE%D1%89%D0%B8/%D0%B0%D1%80%D0%BC%D0%B0%D1%82%D1%83%D1%80%D0%B0-%D0%B4%D0%BB%D1%8F-%D0%BC%D0%B0%D1%88%D0%B8%D0%BD-%D1%81%D0%BA%D0%BE%D1%80%D0%BE%D0%B9-%D0%BF%D0%BE%D0%BC%D0%BE%D1%89%D0%B8/,1,1,
2021-12-03 23:28:40+03:00,/wp-content/uploads/2014/08/%C3%90%C2%A0%C3%90%C2%B5%C3%90%C2%B4%C3%91%C6%92%C3%90%C2%BA%C3%91%E2%80%9A%C3%90%C2%BE%C3%91%E2%82%AC-%C3%90%E2%80%98%C3%90%E2%80%9C%C3%90%C5%BE-5-%C3%90%E2%80%9D%C3%90%E2%80%93%C3%90%E2%80%A2%C3%90%C2%A2-205-00-00-00-%C3%90%C5%B8%C3%90%C2%A1-_%C3%90%C2%B3%C3%90%C2%B5%C3%90%C2%BB%C3%90%C2%B5%C3%90%C2%B2%C3%91%E2%80%B9%C3%90%C2%B9_1.pdf,1,1,
2021-12-03 23:50:51+03:00,/wp-content/uploads/2015/06/5-%C3%90%C2%A0%C3%90%C2%B0%C3%90%C2%BC%C3%90%C2%BF%C3%90%C2%B0-%C3%90%C2%BF%C3%90%C2%B5%C3%91%E2%82%AC%C3%90%C2%B5%C3%90%C2%BF%C3%91%C6%92%C3%91%20%C3%90%C2%BA%C3%90%C2%BD%C3%90%C2%B0%C3%91%20-%C3%90%C2%A0%C3%90%C5%B8-01%C3%91%C6%92%C3%90%C2%BF-_4%C3%91%20-2%C3%91%E2%80%A62_-%C3%90%C2%BA%C3%90%C2%B8%C3%91%20%C3%90%C2%BB%C3%90%C2%BE%C3%91%E2%82%AC%C3%90%C2%BE%C3%90%C2%B4%C3%90%C2%BD%C3%90%C2%B0%C3%91%20-%C3%90%C2%BD%C3%90%C2%B0-4-%C3%90%C2%B1%C3%90%C2%B0%C3%90%C2%BB%C3%90%C2%BB%C3%90%C2%BE%C3%90%C2%BD%C3%90%C2%B0-c-%C3%90%C2%BE%C3%91%E2%80%9A%C3%91%20%C3%90%C2%B5%C3%91%E2%80%A1%C3%90%C2%BD%C3%91%E2%80%B9%C3%90%C2%BC%C3%90%C2%B8-%C3%90%C2%BA%C3%90%C2%BB%C3%90%C2%B0%C3%90%C2%BF%C3%90%C2%B0%C3%90%C2%BD%C3%90%C2%B0%C3%90%C2%BC%C3%90%C2%B8-483%C3%91%C6%92%C3%90%C2%BF.pdf,1,1,
2021-12-04 00:06:08+03:00,/shop/zip_medobor/%D0%BF%D0%B5%D1%80%D0%B5%D1%85%D0%BE%D0%B4%D0%BD%D0%B8%D0%BA-%D0%BA-%D0%B2%D0%B5%D0%BD%D1%82%D0%B8%D0%BB%D1%8E-%D0%BF%D0%B0%D0%BB%D0%B0%D1%82%D0%BD%D0%BE%D0%BC%D1%83-%D0%BF%D0%BE%D0%B4-%D0%BC%D0%B0/%D0%BF%D0%B5%D1%80%D0%B5%D1%85%D0%BE%D0%B4%D0%BD%D0%B8%D0%BA-%D0%BA-%D0%B2%D0%B5%D0%BD%D1%82%D0%B8%D0%BB%D1%8E-%D0%BF%D0%B0%D0%BB%D0%B0%D1%82%D0%BD%D0%BE%D0%BC%D1%83-%D0%BF%D0%BE%D0%B4-%D0%BC%D0%BE/,1,1,
